AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
4.001,1.262,206.1,0.0,0.3957,177
4.014,1.13,210.2,0.0,0.43260000000000004,178
4.163,0.913,231.9,0.0,0.4051,179
4.28,0.69,226.0,0.0,0.3935,180
4.439,1.265,243.1,0.0,0.36,181
4.514,1.96,206.2,0.0,0.43810000000000004,182
4.306,1.365,185.2,0.0,0.5098,183
4.278,0.925,176.7,0.0,0.5149,184
4.349,1.092,201.4,0.0,0.549,185
4.285,1.248,210.6,0.0,0.548,186
4.367,1.222,230.3,0.0,0.5269,187
4.622,1.422,235.0,0.0,0.5044,188
4.72,1.503,237.5,0.0,0.535,189
4.814,1.21,239.7,0.0,0.554,190
4.698,0.53,230.7,0.0,0.5382,191
4.628,0.657,233.6,0.0,0.4673,192
4.538,1.062,207.7,0.0,0.4537,193
4.572,1.183,217.4,0.0,0.4885999999999999,194
4.489,0.602,218.9,0.0,0.4265,195
4.404,1.0,213.9,0.0,0.38960000000000006,196
4.294,0.893,198.4,0.0,0.3705,197
4.196,0.598,228.9,0.0,0.3168000000000001,198
4.124,0.56,251.7,0.0,0.27869999999999995,199
4.201,0.635,252.4,0.0,0.2242,200
4.403,0.948,241.5,0.0,0.2028,201
4.475,1.15,239.2,0.0,0.1908999999999999,202
4.358,0.932,225.1,0.0,0.20239999999999997,203
4.28,0.625,210.1,0.0,0.1735,204
4.223,0.453,246.9,0.0,0.12659999999999996,205
4.214,0.392,231.0,0.0,0.13289999999999996,206
4.074,0.718,210.9,0.0,0.0882999999999999,207
4.153,1.08,232.8,0.0,0.14409999999999998,208
4.348,0.928,229.8,0.0,0.13259999999999997,209
4.451,0.69,206.2,0.0,0.11000000000000001,210
4.468,0.432,201.1,0.0,0.09199999999999994,211
4.399,0.46,209.5,0.0,0.07189999999999999,212
4.273,0.915,242.5,0.0,0.03200000000000003,213
4.369,1.297,218.3,0.0,0.044399999999999995,214
4.346,1.21,197.0,0.0,0.10769999999999999,215
4.241,1.16,206.7,0.0,0.22780000000000006,216
4.295,0.935,232.7,0.0,0.25370000000000004,217
