AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
6.151,0.363,260.8,0.0,5.8187,1365
10.34,2.993,298.1,166.0,24.272000000000002,802
5.376,0.14,79.93,0.0,2.2349,1250
11.01,1.643,308.9,81.7,19.609,900
4.443,1.45,249.1,0.0,1.2924,236
5.96,1.222,216.4,0.0,3.4940000000000007,88
6.425,0.225,115.9,0.0,6.0123,1410
10.85,0.928,283.7,53.27,18.319,941
4.118,1.008,172.2,0.0,2.1963999999999997,1218
7.796,1.455,347.8,59.12,12.617999999999999,610
5.942,0.695,52.17,0.0,5.487499999999999,1334
10.59,1.003,357.8,27.63,13.397,966
8.56,1.997,348.3,91.9,16.776999999999997,643
5.298,0.253,98.0,0.0,4.4439,1309
10.5,2.728,4.601,159.0,24.374000000000002,811
4.777,0.588,222.0,0.0,3.6087,290
4.91,0.9,245.0,0.0,3.6335,285
9.83,2.192,343.9,141.1,20.844,774
6.174,0.262,224.1,0.0,5.811399999999999,1364
6.063,1.27,7.825,44.17,9.203,551
6.395,0.288,334.9,0.0,5.936699999999999,1398
4.828,1.033,241.9,0.0,3.3434999999999997,266
3.846,0.658,177.8,0.0,2.6399999999999997,327
4.021,0.563,200.7,0.0,2.8649999999999993,348
4.271,0.458,86.0,23.06,3.2464,497
6.392,1.472,205.5,0.0,5.3180000000000005,59
4.256,1.0606782861292665,0.0,0.0,3.4267000000000003,405
4.716,0.477,344.8,38.54,7.463700000000001,526
6.057,0.347,79.71,0.0,5.785200000000001,1358
4.829,6.1,346.4,33.74,7.7878,528
9.67,0.173,355.4,1.908,8.6416,993
3.623,0.297,229.5,11.57,1.8670000000000002,482
5.815,0.91,136.4,0.0,1.8527999999999998,1132
9.98,0.895,351.6,5.515,9.7178,984
10.51,2.505,292.3,137.7,24.268,818
2.746,0.967,109.2,0.014,1.6718000000000004,458
10.26,0.828,353.3,11.03,11.58,973
10.13,2.122,306.6,178.4,22.182,782
3.744,0.675,180.8,0.0,2.6254,333
3.677,0.312,155.5,0.0,2.6544,433
6.962,0.727,133.3,0.0,3.7146,1050
6.443,0.518,55.0,0.0,2.5659,1089
4.885,0.327,147.8,0.0,1.9676000000000002,1272
